OBJECTID,PCPC_NUM,GLOBALID,NAME,P_DIST,ST_EXT,PT_ADD,ZIP,SURVEY_YEAR,GLA,GLA_2003,GLA_1995,COMM_COUNT,COMM_COUNT_2003,COMM_COUNT_1995,OCC_COUNT,VAC_COUNT,VAC_RATE,VAC_RATE_2003,VAC_RATE_1995,CORRIDOR_TYPE,PHYS_CHAR,AGE,STAGE,STAGE_2003,STAGE_1995,COND_PUB,COND_PRIV,STORE_MIX,COND_SUM,COND_SUM_2003,COND_SUM_1995,CRM_ORG,SS_DIST,CDC_TAX_CREDIT,E_ZONES,FY12_MGMT,FY12_MGMT_AMOUNT,FY13_MGMT,FY13_MGMT_AMOUNT,FY14_MGMT,FY14_MGMT_AMOUNT,FY15_MGMT,FY15_MGMT_AMOUNT,FY16_MGMT,FY16_MGMT_AMOUNTS,FY12_CLEANING,FY12_CLEANING_AMOUNT,FY13_CLEANING,FY13_CLEANING_AMOUNT,FY14_CLEANING,FY14_CLEANING_AMOUNT,FY15_CLEANING,FY15_CLEANING_AMOUNT,FY11_SIP,FY11_SIP_TOTAL,FY12_SIP,FY12_SIP_TOTAL,FY13_SIP,FY13_SIP_TOTAL,FY14_SIP,FY14_SIP_TOTAL,FY15_SIP,FY15_SIP_TOTAL,FY14_IS,FY14_IS_AMOUNT,FY15_IS,FY15_IS_AMOUNT,FY08_11_SBP_CITY,FY08_11_SBP_TOTAL,FY12_15_SBP_CITY,FY12_15_SBP_TOTAL,FY16_19_SBP_CITY,FY16_19_SBP_TOTAL,FY08_11_PD,FY12_15_PD,FY16_19_PD,Shape__Area,Shape__Length
107,52,fa8e8118-74da-4251-9437-bd7efa58d43c,Washington Avenue West,Central,Washington/16th24th,2001 Washington Avenue,19146,2012,"285,000",,"260,000",61,40,39,50,11,18.00%,13.00%,0.00%,6,5,1900,4,4,4,2,2,3,7,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222474.10546875,3907.4655239943
108,56,5cb5f129-7ba4-46c0-a719-0a8fe8497ac9,30th and Grays Ferry,South,Grays Ferry/28th31st,3001 Grays Ferry Avenue,19146,2014,"135,000","122,686","82,000",13,14,12,11,2,15.40%,7.00%,17.00%,2,2,1980,4,1,1,1,2,1,4,4,4,Office of Business  Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603344,603344,,,,,,,,123406.2578125,1813.66519976157
109,57,e3d51aaa-efc1-4620-91d5-63bbccff4555,reserved  - Christian St. vicinity,Central,Christian/17th22nd,,19146,2012,,,,30,,,17,13,43.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73897.0546875,2079.79083555376
110,63,bffe450f-35eb-457a-be52-06da1d075dd1,Woodland and Island Avenues,Lower SW,Island/WoodlandAMTRAK,7298 Woodland Avenue,19142,2015,"20,000",,,10,,,7,3,30.00%,,,1,5,1930,4,,,3,3,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44679.375,945.593992251749
111,64,ee239bbe-d84c-4db7-8110-3f5d76b1dd12,Elmwood Avenue,Lower SW,Elmwood/65thIsland,6924 Elmwood Avenue,19142,2015,"225,000","228,000","118,000",92,97,56,84,8,8.70%,14.00%,7.10%,1,1,1920,1,3,1,3,3,2,8,9,9,Office of Business  Services,,,,,,,,,,,,,,,,,,,,,,,,,,1,1360,,,,,,,,,,,,,,,,,,237803.375,5190.14895119282
112,65,275b4cfc-b337-4dd3-a331-c7fa0c285cde,61st and Passyunk,Lower SW,61st and Passyunk,6098 Passyunk,19153,2015,"40,000",,"35,000",6,,5,5,1,16.70%,,20.00%,6,2,1950,1,,3,4,4,3,11,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEC Center for Culinary Enterprise,,,391757.01171875,2775.69862267187
113,60,f359dee7-7495-40d9-b1fd-4ffe8c67ff8f,Penrose Plaza and vicinity,Lower SW,Island Avenue/76th81st,2900 Island Avenue,19153,2015,"315,000","343,000","290,000",42,38,39,25,17,40.50%,11.00%,5.10%,3,2,1970,3,1,1,2,2,3,7,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422808.3046875,3587.878505357
114,67,51d81f71-b0c2-4d9f-b735-db2a8c81631f,54th and Woodland,University SW,Woodland/52nd56th,5400 Woodland Avenue,19143,2012,"50,000","141,000","30,000",57,83,40,46,11,19.30%,25.30%,30.00%,1,1,1900,1,3,3,4,4,2,10,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85912.9453125,2074.36232882271
115,70,cf38d6b3-ecbc-43ef-8969-cad053cec92b,58th and Florence,University SW,58th/WarringtonFlorence,1601 S. 58th Street,19143,2012,"10,000","35,000","7,000",13,28,14,5,8,61.50%,25.00%,57.00%,1,1,1900,3,3,3,4,4,4,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8451.96875,504.254305605178
116,71,d34cb9a6-f3ce-465c-8307-04187936bf2b,52nd and Chester,University SW,Chester/Paxon52nd,5131 Chester Avenue,19143,2012,"10,000","15,000","8,000",10,12,8,6,4,40.00%,25.00%,63.00%,1,1,1900,3,1,3,4,4,4,12,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3532.84375,256.325696884433
117,88,bd27075c-e571-4b7f-9c2a-6252417b49c6,46th Street and vicinity,University SW,42nd49th/FilbertLocust,4600 Chestnut Street,19139,2017,"235,000","334,000","110,000",83,114,92,65,18,21.70%,19.30%,23.90%,2,5,1920,4,4,4,2,2,2,7,8,8,The Enterprise Center CDC,,TEC-CDC,,,,,,,,,,,,,,,,,,,,1,12000,,,,,,,,,,,,,,,,,,,,,,987202.5078125,4915.10462457316
118,89,aac08252-041a-4962-8329-67fc78b4bb7c,48th and Spruce,University SW,47th49th/SprucePine,4800 Spruce Street,19143,2017,"80,000","80,000","75,000",39,38,33,36,3,7.70%,13.20%,15.20%,1,1,1930,1,1,1,3,2,2,7,7,7,The Enterprise Center CDC,,TEC-CDC,,,,,,,,,,,,,,,,,,,,1,4243,,,,,,,2,10786,1,50000,,,,,,,,,TEC Center for Culinary Enterprise,,,54271.66796875,1200.39323828175
119,7,2ff2460a-70e8-4748-b5d6-8acf61b304d9,5th and Delancey,Central,5th and Delancey,318 S. 5th Street,19106,2012,"20,000",,"20,000",5,,5,5,0,0.00%,,0.00%,1,5,1960,1,,1,1,1,2,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8009.24609375,414.645880390607
120,9,1af8a198-cd7f-4c04-bea3-90eaf4c9a7a5,Pine Street,Central,Pine/9th12th,1100 Pine Street,19147,2012,"65,000",,,46,,,41,5,10.90%,,,1,1,1840,4,,,2,2,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42398.37890625,1223.0136426913
121,38,5d3c4bf5-b318-4792-90ac-35f11e86e4f5,Broad and Oregon,South,13th18th/RitnerBigler,2684 S. Broad Street,19148,2011,"183,000","92,000","92,000",111,56,56,100,11,9.90%,10.30%,10.70%,2,1,1910,1,1,1,1,1,2,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154852.8359375,3799.7248654398
122,39,5c37475f-0f11-4afe-b24c-88409ade3bf9,Packer Park ,Lower South,Broad17th/I76Hartranft,1526 Packer Avenue,19145,2011,"63,000","60,000","35,000",25,14,10,25,0,0.00%,0.00%,0.00%,1,2,1960,1,2,1,1,2,2,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107972.21875,2015.77568848611
123,40,46e0ddc4-0306-48a6-8840-ea52ffa3d30b,Sports Complex,Lower South,DarienBroad/PackerI95,1300 Pattison Avenue,19148,2011,"112,000","60,000","43,000",12,6,4,12,0,0.00%,0.00%,0.00%,5,4,1990,4,4,1,1,1,1,3,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650845.21484375,5388.62610500213
124,231,0bd16532-9d88-45b4-bbff-f5f40e4ee6ee,Conrad and Sunnyside,Lower NW,Conrad/Indian QueenTilden,3427 Conrad Street,19129,2013,"18,000",,,17,,,13,4,23.50%,,,1,1,1900,1,,,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32821.08203125,981.436049700231
125,175,14481754-01e9-4902-b7d1-93db9f68a69c,Scotts Lane,North,Scotts Lane/RidgeCrawford,3502 Scotts Lane,19129,2014,"158,000",,,12,,,9,3,25.00%,,,6,5,1980,4,,,2,2,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141471.29296875,2045.07022632085
126,190,0aaa2e97-3366-4ef7-9121-9446a195d893,Front and Kensington,Lower North,KensingtonFront/LehighDiamond,2401 Kensington Avenue,19133,2012,"207,000","315,000","250,000",181,190,181,119,62,34.30%,33.20%,26.00%,3,1,1910,3,3,1,3,4,3,10,7,9,New Kensington CDC,,,ASEZ,,,TCMP,50000,TCMP,50000,TCMP,,TCMP,,Corridor Cleaning Program,25000,Corridor Cleaning Program,25000,Corridor Cleaning Program,20000,Corridor Cleaning Program,,3,27975,2,14865,,,1,16800,,,,,,,2254557,2254557,,,,1333333,,,,230785.1015625,3591.27440516564
127,191,429fdc02-80f3-4462-8676-982d23ba4bef,Palmer Park,River Wards,Frankford/EyreMarlborough,1700 Frankford Avenue,19125,2014,"30,000",,,17,,,10,7,41.20%,,,1,1,1860,4,,,2,3,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31001.69140625,1010.70740983092
128,192,659e0862-073e-4aa8-bf68-379bf7752744,Frankford and Susquehanna,River Wards,Frankford/SergeantBerks,2043 Frankford Avenue,19125,2014,"60,000",,"30,000",49,,20,33,16,32.70%,,50.00%,1,1,1860,4,,3,2,4,3,9,,12,New Kensington CDC,,NKCDC,ASEZ (1200-1900 only),TCMP,75000,TCMP,25000,TCMP,25000,TCMP,175000,TCMP,175000,Corridor Cleaning Program,75000,Corridor Cleaning Program,55000,Corridor Cleaning Program,55000,Corridor Cleaning Program,75000,9,61810,5,41525,6,59435,4,33277,4,48000,,,1,50000,75000,1875000,,,,,,Lutheran Settlement House,,94302.0390625,2531.55152706422
129,193,35630a74-7f93-480e-a65c-490401e2ee57,Trenton and Lehigh,River Wards,Lehigh/TulipFrankford,2132 Lehigh Avenue,19125,2014,"20,000",,"20,000",3,,1,2,1,33.30%,,0.00%,1,5,1960,3,,1,3,2,4,9,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53500.59765625,1508.09939081526
130,286,f8ac2958-64dc-468a-ac44-80a5e7ceb75a,Frankford Avenue/Margaret-Orthodox,Lower NE,PaulLeiper/AllengroveUnity,4700 Frankford Ave,19124,2012,"400,000",547152,"350,000",206,241,208,146,60,29.10%,0.336,43.30%,3,1,1900,3,3,3,3,3,4,10,9,7,Frankford CDC,,Frankford CDC,,TCMP,75000,TCMP,75000,TCMP,75000,TCMP,125000,TCMP,125000,,,Corridor Cleaning Program,40000,Corridor Cleaning Program,40000,Corridor Cleaning Program,45000,,,1,12000,,,1,3325,2,9225,,,,,,,325000,325000,,1358333,,,,191423.25,3560.85415996505
131,287,08399975-85e8-461f-afc3-0245402fd40a,Frankford Avenue/Bridge-Pratt,Lower NE,DarrahGriscom/BrillAllengrove,5201 Frankford Ave,19124,2012,"189,000","212,122","145,000",88,83,87,77,11,12.50%,13.30%,11.50%,2,1,1900,2,3,3,3,3,1,7,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132759.19921875,2366.1200053252
132,288,d064351a-bc55-4510-9ed7-6dc765d36108,Wakeling and Aramingo,River Wards,TaconyAMTRAK/BridgeBuckius.,4851 James St,19124,2012,"40,000","57,850","40,000",5,8,2,5,0,0.00%,25.00%,0.00%,1,2,1980,3,1,1,3,3,4,10,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157632.27734375,1786.65437131918
133,290,a5931ace-9381-49b2-a9f7-1ab20f58fc4f,Torresdale Avenue - Wissinoming,N Delaware,Torresdale/DevereauxVan Kirk,6001 Torresdale,19135,2015,"125,000","110,000","80,000",67,79,70,52,15,22.40%,13.00%,20.00%,2,1,1910,3,3,1,2,3,4,9,9,6,Office of Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78800.30859375,1846.9431073335
134,291,ea64e326-0085-419c-9604-38a816c848be,reserved - Keystone Street,N Delaware,Keystone/LevickRobbins,6301 Keystone Street,19135,2015,,"13,500","20,000",,6,4,,,#VALUE!,0.00%,25.00%,1,2,1960,,1,1,,,,0,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27023.52734375,728.767407747746
135,292,4f43c8e2-89e2-4ae8-b346-2403f5fb9107,Torresdale and Levick,N Delaware,Torresdale/HellermanRobbins,6401 Torresdale Avenue,19135,2015,"25,000","72,000","22,000",15,16,15,12,3,20.00%,6.00%,20.00%,1,5,1920,1,1,1,2,2,3,7,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46477.51171875,1183.81547794878
136,293,f18700af-aee6-4644-9c59-6509f3e6ed90,Torresdale Avenue - Tacony,N Delaware,Torresdale/CottmanMagee,6900 Torresdale Avenue,19135,2015,"175,000","259,000","110,000",133,179,96,110,23,17.30%,19.00%,13.50%,2,1,1910,1,2,1,2,2,2,6,7,6,Tacony CDC,,Tacony CDC,,,,,,,,,,,,,,,,,,,,,,,,2,24000,12,,3,18215,,,,,897344,897344,,,,,,,,167524.796875,3745.53716948256
137,135,59595d8d-4056-4d68-bf25-6151dd2bf27b,36th and Lancaster,University SW,Lancaster/34thHamilton,3632 Powelton Avenue,19104,2012,"55,000","92,000","45,000",51,62,51,40,11,21.60%,37.10%,21.60%,1,1,1900,1,1,4,2,2,2,6,9,8,University City District,UCD,UCD,,,,,,,,,,,,,,,,,,,,,,2,20000,1,12000,1,12000,,,,,,,,,,,,,,,,123197.40234375,2261.6063077449
138,140,9d59513a-433d-4ba1-9794-c391d1c254b7,West Girard,Lower North,Girard/CollegeBrewerytown,2700 W. Girard Avenue,19121,2012,"160,000","170,000","110,000",105,124,104,76,29,27.60%,31.50%,21.10%,2,1,1870,4,1,4,3,2,2,7,7,6,Fairmount CDC,,,,,,,,,,,,,,Corridor Cleaning Program,75000,Corridor Cleaning Program,15000,Corridor Cleaning Program,30000,,,2,9004,1,20000,1,1330,,,1,1330,1,50000,1,50000,1216502,1216502,,380012.5,1367119,1367119,,,,116592.015625,2938.0344535979
139,153,e56f2252-1bd4-4f92-8b07-897957db6dd4,Girard and Marshall,Lower North,Girard/Lawrence10th,600 W. Girard Avenue,19123,2012,"167,000","334,000","180,000",81,119,107,51,30,37.00%,36.10%,40.20%,2,5,1890,3,3,3,3,4,3,10,11,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113753.46875,2466.88967254357
140,160,8a90e5b0-c73b-452e-91f3-1b7c1ff804a7,27th and Cecil B. Moore,Lower North,Cecil B. Moore/26th29th,2701 Cecil B. Moore Avenue,19121,2012,"32,000","64,000",,40,62,,19,21,52.50%,33.90%,,1,1,1880,3,3,,4,4,4,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45812.61328125,1221.34563173748
141,162,53b8a795-a710-41d3-8756-84ba4445d79c,22nd and Diamond,Lower North,Diamond/LambertCroskey,2121 W. Diamond Street,19121,2012,"23,000","17,000","15,000",11,14,12,11,0,0.00%,14.30%,8.30%,1,1,1920,3,4,1,3,4,4,11,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25387.97265625,866.084290975199
142,164,dc373183-b3a2-4ff8-b5b6-fada61692794,Ridge and Diamond,Lower North,Ridge/Sedgley31st,2913 Ridge Avenue,19121,2012,"61,000","84,000","50,000",43,51,57,18,25,58.10%,47.10%,52.60%,1,1,1890,3,3,3,3,4,4,11,10,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44641.90625,1431.12737945361
143,165,970bad34-7000-43e0-80be-258d9c4cd984,Strawberry Square,Lower North,29th/YorkFletcher,2301 N. 29th Street,19132,2013,"92,000","114,000","75,000",37,48,44,33,4,10.80%,29.20%,29.50%,2,5,1980,1,4,1,3,2,2,7,7,7,Office of Business Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91100.1640625,1423.31269840521
144,168,b7a21d0a-6138-4e06-be74-0a0aa09b1321,West Lehigh,Lower North,Lehigh/24th29th,2600 W. Lehigh Avenue,19132,2016,"77,000","78,000","45,000",78,65,44,42,36,46.2%,30.80%,38.60%,1,1,1900,3,4,3,3,4,3,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89825.35546875,2116.39218380764
145,207,c9eeed29-79e1-4b57-bc8f-ed81822ab251,Richmond and Allegheny,River Wards,I95Aramingo/WestmorelandAnn,2634 E. Allegheny Avenue,19134,2014,"160,000","218,000","80,000",121,154,97,106,15,12.40%,16.90%,18.60%,2,1,1900,1,3,1,3,3,3,9,10,9,New Kensington CDC,,NKCDC,,TCMP,,TCMP,25000,TCMP,25000,TCMP,,TCMP,,Corridor Cleaning Program,,Corridor Cleaning Program,,Corridor Cleaning Program,,Corridor Cleaning Program,,,,,,1,3040,,,,,,,,,,,,,,,,,,172345.53515625,4393.68271277788
146,208,2a8da179-6ace-4b81-8c33-924c7b1818d6,Lower Aramingo Avenue,River Wards,Aramingo/LehighNorris,2638 E. Cumberland Street,19125,2014,"230,000","226,000","150,000",49,37,32,44,5,10.20%,5.40%,9.40%,2,2,1980,4,4,1,1,1,1,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215504.21484375,3762.23180655188
147,209,cd3ee44d-0ab4-4ff7-92cc-9a45829a31f3,East Girard,River Wards,WildeyMaster/SusquehannaHoward,1201 Frankford Avenue,19125,2014,"215,000","148,000","105,000",178,130,103,149,29,16.30%,29.20%,24.30%,2,5,1850,4,3,3,2,2,2,6,7,6,New Kensington CDC,,NKCDC,,TCMP,,TCMP,25000,TCMP,25000,TCMP,,TCMP,,Corridor Cleaning Program,,Corridor Cleaning Program,,Corridor Cleaning Program,,Corridor Cleaning Program,,2,17000,1,8000,1,2839,5,18853,1,9440,1,39682,1,50000,,,2000000,3138000,,,,,,210065.734375,4150.38573652969
148,211,306c4ad2-29f5-43f0-bb23-233ccf686ecf,Main Street - Manayunk,Lower NW,Main/MarkleLeverington,4319 Main Street,19127,2013,"287,000",,"210,000",168,,173,145,23,13.70%,,5.20%,3,1,1890,1,,2,1,1,1,3,,3,Manayunk Dev Corp,Manayunk Special Services District,Manayunk Dev Corp,,,,,,,,,,,,,,,,,,,,2,17903,,,1,5000,1,2975,1,2462,,,,,,,,,,,,,,234097.74609375,4102.63241261505
149,300,52999cc7-af36-41f8-9ad0-8eee0df5fc48,Castor and Magee,Central NE,Castor/GlenviewRobbins,6521 Castor Ave,19111,2012,"200,000","385,000","285,000",134,138,131,108,26,19.40%,,,2,5,1940,3,,,2,3,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144820.1328125,2891.61321392215
150,295,447ca4e9-5146-4650-b8ca-68d58f0ea94e,Frankford Avenue - Lower Mayfair,N Delaware,Frankford/TysonBenner,6600 Frankford Avenue,19135,2015,310000,427000,280000,132,137,106,115,17,0.129,0.04,0.03,3,5,1920,1,1,1,2,2,2,6,4,5,Mayfair CDC,Mayfair BID,Mayfair CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355832.4921875,6070.99842172279
151,296,790c3bfb-b6c4-44a0-8844-952f4c0f3312,Roosevelt Plaza and vicinity,N Delaware,UnruhLevick/RooseveltBrous,6501 Harbison Ave,19149,2012,"215,000","221,068","155,000",37,41,28,34,3,8.10%,0.00%,7.10%,2,2,1950,1,1,1,1,2,1,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173825.65625,2738.54735832533
152,297,c0ddaf95-acbc-4993-addb-614500baf75c,Bustleton and the Boulevard,Lower NE,HellermanDevereaux/EastwoodLeonard,6301 Bustleton Ave,19149,2012,"37,000","113,300","65,000",23,32,21,21,2,8.70%,6.30%,4.80%,1,5,1950,4,1,2,2,2,3,7,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105523.70703125,2775.40769460299
153,298,807c925e-bbac-406b-a6a3-4805fa40e0aa,Bustleton and Harbison,Lower NE,Bustleton/PrincetonUnruh,6800 Bustleton Ave,19149,2012,"89,000","75,000","75,000",55,60,60,50,5,9.10%,10.00%,10.00%,2,5,1940,1,3,3,3,2,2,7,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125885.36328125,2298.33050000002
154,299,f6f74eaa-eeb6-4131-8789-28e4ba3114ad,Castor and Tyson,Central NE,Castor/St. VincentGlenview,7000 Castor Ave,19111,2012,"75,000",,,41,49,39,36,5,12.20%,,,2,5,1940,3,,,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68589.96484375,1772.86494817252
155,301,788ab2da-b3e2-4195-bd82-a11399f96874,Castor and Benner,Lower NE,Castor/ComlyBenner,6033 Castor,19149,2012,"38,000","40,000","45,000",24,24,27,19,5,20.80%,15.00%,14.80%,1,1,1940,1,1,3,2,3,3,8,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17744.33984375,606.64200007783
156,303,62098ef4-564e-465f-b3c0-b63e68301561,Oxford and Levick,Lower NE,AlgonOxford/PassmoreRobbins,900 Levick St,19111,2012,"148,000","145,357","85,000",32,34,30,32,0,0.00%,3.00%,53.00%,2,2,1950,1,4,3,2,1,1,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112929.53515625,1741.03761540731
157,305,082a039b-3458-44a0-99a6-7b5c5bbe8083,Oxford and Unruh,Lower NE,Oxford/UnruhFanshawe,6640 Oxford Ave,19111,2012,"43,000","42,480","25,000",1,1,1,1,0,0.00%,0.00%,0.00%,1,3,1960,1,1,4,2,1,1,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24826.48828125,697.943191493845
158,302,def5458f-5abd-4ffe-b8b0-a3b7beb71126,Oxford Circle,Lower NE,LargeLoretto/Van KirkBridge,5423 Oxford Ave,19124,2012,"100,000","162,499","90,000",54,63,45,49,5,9.30%,12.70%,6.70%,2,5,1920,1,4,1,2,2,3,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95258.09765625,3821.85447562703
159,306,af09f388-ee66-4c54-bddb-b9dc29f6060a,Crescentville,Lower NE,Rising Sun/GodfreyBenner,5901 Rising Sun Ave,19120,2012,"89,000","114,899","70,000",62,61,44,53,9,14.50%,4.90%,9.10%,2,1,1930,1,1,1,2,2,2,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110833.390625,2361.61458512312
160,307,23d1badd-f000-45d0-87d5-7f5e14c28e22,Lawndale,Lower NE,Rising Sun/BennerLongshore,6400 Rising Sun Ave,19111,2012,"235,000","311,415","195,000",141,159,121,121,20,14.20%,10.70%,5.80%,2,1,1920,3,1,1,2,3,3,8,5,5,Office of Business  Services,,,,,,,,,,,,,,,,,,,,,,,,,,1,2136,,,2,8633,,,,,,,,,,,,,,201026.890625,3836.46604726267
161,311,a8534a90-d261-489a-84c6-9d84dd2e9ec8,Rhawn and Verree,Central NE,Verree/StanwoodRipley,8000 Verree Rd,19111,2012,"20,000","26,000","15,000",13,14,11,13,0,0.00%,0.00%,0.00%,1,5,1950,1,4,1,1,2,1,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26912.015625,841.302308088417
162,312,96af3bfc-66a3-43be-870b-473de05d49b7,Dungan Road,Central NE,MeadowbrookCSX/RhawnNapfle,7938 Dungan Rd,19152,2012,"82,000","95,000","105,000",21,19,20,16,5,23.80%,21.10%,30.00%,2,5,1960,1,4,1,2,2,2,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158832.2578125,2552.5899435941
163,314,cb8d9e79-f207-4435-989d-94ceca6f5333,Bustleton and Tustin,Central NE,Bustleton/PlacidBergen,8500 Bustleton Ave,19152,2012,"50,000","30,000","30,000",25,16,16,17,8,32.00%,6.30%,6.30%,1,2,1950,3,,1,2,3,3,8,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92001.16796875,1540.47673923346
