number,lat,lng
94.0,39.9632709,-75.2322437
95.0,39.9658709,-75.237914
96.0,39.9655396,-75.24350749999999
138.0,39.9764504,-75.1771771
139.0,39.9750563,-75.17118459999999
140.0,39.97353579999999,-75.16309659999999
141.0,39.9708771,-75.1524555
142.0,39.9652375,-75.13596120000001
143.0,39.967122499999995,-75.12656170000001
144.0,39.9722286,-75.1400952
145.0,39.9760715,-75.1484189
146.0,39.9764305,-75.154699
147.0,39.9785489,-75.1620244
148.0,39.9802047,-75.169161
149.0,39.9816503,-75.1804029
152.0,39.985454600000004,-75.17004909999999
153.0,39.9837644,-75.1608849
156.0,39.9790066,-75.141891
190.0,40.0095015,-75.0986136
191.0,40.009551,-75.107182
192.0,40.000639299999996,-75.1150648
197.0,40.0162799,-75.1379372
198.0,40.0107245,-75.14214720000001
199.0,40.0048515,-75.1435463
200.0,40.0025289,-75.1508995
202.0,40.0081282,-75.1621609
203.0,40.012582,-75.1495922
204.0,40.0198216,-75.1525117
205.0,40.015873799999994,-75.1643607
206.0,40.0198,-75.182774
13.0,39.944525799999994,-75.186205
14.0,39.9429436,-75.171593
15.0,39.941903700000005,-75.1591158
16.0,39.9402546,-75.14831269999999
17.0,39.937759299999996,-75.14831140000001
18.0,39.939999799999995,-75.15930909999999
19.0,39.940045399999995,-75.172227
20.0,39.9381416,-75.1843145
21.0,39.9372214,-75.1768955
22.0,39.9364111,-75.17039229999999
23.0,39.9348217,-75.16297990000001
24.0,39.9367634,-75.15951
25.0,39.934296,-75.14980229999999
29.0,39.9306984,-75.1655729
31.0,39.932342799999994,-75.17795720000001
50.0,39.889876799999996,-75.1691412
54.0,39.8904539,-75.25139229999999
55.0,39.9074191,-75.24891740000001
56.0,39.8988328,-75.24473470000001
60.0,39.9115196,-75.238157
61.0,39.9150013,-75.2288094
62.0,39.919413399999996,-75.2335257
63.0,39.9210843,-75.2399762
100.0,39.9710834,-75.25037590000001
101.0,39.9721396,-75.242529
102.0,39.968083,-75.23167009999999
103.0,39.967832200000004,-75.2254383
104.0,39.9654995,-75.2191193
105.0,39.9665652,-75.2142018
106.0,39.9646327,-75.2079213
107.0,39.9687475,-75.20694420000001
108.0,39.9660217,-75.198989
109.0,39.9649286,-75.191765
110.0,39.9737291,-75.20629509999999
111.0,39.9752003,-75.2215745
112.0,39.9736041,-75.2336533
113.0,39.9786554,-75.23533459999999
114.0,39.9807388,-75.2440178
157.0,39.978046299999995,-75.1355242
158.0,39.973577299999995,-75.12943270000001
160.0,39.9793809,-75.12319029999999
161.0,39.9844571,-75.127525
162.0,39.984019700000005,-75.13842170000001
163.0,39.9885061,-75.1339156
164.0,39.9896437,-75.1431665
165.0,39.989055,-75.1491723
166.0,39.9890491,-75.1536062
168.0,39.991782,-75.167654
39.01,39.92382620000001,-75.17328540000001
169.02,39.9939857,-75.18319340000001
169.01,39.993052299999995,-75.17583940000002
207.0,40.0126929,-75.19448670000001
208.0,40.0213151,-75.193614
209.0,40.0186576,-75.2089795
210.0,40.024473,-75.21510450000001
211.0,40.0264564,-75.2065293
212.0,40.034839,-75.21253370000001
213.0,40.032233899999994,-75.2181175
214.0,40.027929,-75.22408270000001
215.0,40.0350417,-75.2288249
216.0,40.043675799999995,-75.2403985
241.0,40.0332734,-75.17591750000001
242.0,40.028511,-75.16970859999999
243.0,40.0215855,-75.17103759999999
244.0,40.0248284,-75.1638925
245.0,40.033328600000004,-75.1620463
246.0,40.0409623,-75.17290159999999
247.0,40.041703399999996,-75.1645311
248.0,40.0468442,-75.1668818
249.0,40.051100899999994,-75.1601167
252.0,40.046835200000004,-75.1771588
253.0,40.0542198,-75.18222
254.0,40.0604202,-75.1760718
255.0,40.06257960000001,-75.184064
256.0,40.068341100000005,-75.1883025
283.0,40.026050500000004,-75.14385250000001
284.0,40.02515770000001,-75.1381287
285.0,40.028715399999996,-75.1337359
286.0,40.028575700000005,-75.1276448
287.0,40.0218194,-75.1314402
288.0,40.0222841,-75.1240562
290.0,40.0296096,-75.1166058
291.0,40.0361323,-75.10745940000001
292.0,40.0249561,-75.102158
293.0,40.013754,-75.09176550000001
294.0,40.0094789,-75.08547209999999
298.0,40.015952899999995,-75.06780129999999
333.0,40.05501470000001,-75.0440558
334.0,40.053505200000004,-75.052961
335.0,40.054601399999996,-75.06486770000001
336.0,40.0614785,-75.059235
338.0,40.062648100000004,-75.07364399999999
339.0,40.068556,-75.08734179999999
340.0,40.07117589999999,-75.0735007
341.0,40.0763415,-75.08069379999999
342.0,40.0825947,-75.0721585
9802.0,40.071470899999994,-75.044391
344.0,40.0943325,-75.05644190000001
346.0,40.0708314,-75.02072640000002
64.0,39.925180499999996,-75.2428396
65.0,39.9330955,-75.2318406
66.0,39.9293155,-75.2298425
363.01,40.0895349,-74.9667387
364.0,40.1127747,-74.97891369999999
366.0,39.94702720000001,-75.14044720000001
348.03,40.0619427,-75.0023705
347.02,40.057042700000004,-75.0283288
362.02,40.0838623,-74.97818050000001
38.0,39.9184658,-75.1831323
83.02,39.956698100000004,-75.2414378
176.02,39.996718200000004,-75.13055279999999
10.02,39.945004499999996,-75.1466193
10.01,39.945672200000004,-75.151602
4.02,39.9532973,-75.1686952
4.01,39.954187100000006,-75.1758082
122.04,40.0009407,-75.21207690000001
122.03,40.007466799999996,-75.20935259999999
136.02,39.971571399999995,-75.1798097
345.01,40.0749091,-75.0392089
345.02,40.0814446,-75.0383811
11.02,39.9442654,-75.156696
9.02,39.9471596,-75.1566389
9.01,39.947886600000004,-75.1623004
172.01,39.999397200000004,-75.1686145
172.02,39.998667,-75.17420609999999
274.01,40.0386049,-75.12864959999999
201.01,40.003682399999995,-75.15530720000001
201.02,40.0111415,-75.1545676
311.01,40.042249600000005,-75.0785449
311.02,40.037085,-75.0833729
195.02,40.003403000000006,-75.1300445
195.01,40.0004303,-75.13162270000001
289.01,40.017100799999994,-75.11518199999999
289.02,40.0216105,-75.1116877
331.01,40.0403093,-75.0379505
331.02,40.045105,-75.02728690000001
315.01,40.0365919,-75.0481642
305.01,40.04281629999999,-75.0994351
305.02,40.0457206,-75.10466190000001
98.02,39.974587899999996,-75.2679037
180.01,39.9810569,-75.1128
177.02,39.995062100000006,-75.12313990000001
177.01,39.996446999999996,-75.1167526
356.02,40.1079419,-75.04806009999999
357.01,40.109584600000005,-75.0286811
357.02,40.1130914,-75.0374316
356.01,40.0973908,-75.0388184
151.01,39.986963200000005,-75.1857502
151.02,39.986143,-75.179428
365.01,40.12908770000001,-75.0120077
9804.0,39.87988970000001,-75.23374140000001
134.02,39.965362299999995,-75.1690326
134.01,39.96595739999999,-75.17525069999999
136.01,39.9689697,-75.17857740000001
379.0,39.9910899,-75.0927158
382.0,39.996374100000004,-75.0973643
380.0,40.0052279,-75.0807845
381.0,40.018933399999995,-75.03995640000001
384.0,40.071416299999996,-75.23325679999999
1.0,39.95238270000001,-75.1466628
2.0,39.9553999,-75.1569775
3.0,39.956878,-75.1716655
5.0,39.9519534,-75.1581776
6.0,39.9493845,-75.1583354
7.0,39.9510463,-75.17291429999999
32.0,39.9333011,-75.1854187
33.0,39.938440500000006,-75.1958253
36.0,39.9279255,-75.19202059999999
37.01,39.927672799999996,-75.18066540000001
37.02,39.9245283,-75.1824354
41.01,39.9229611,-75.1589741
40.02,39.9188943,-75.167416
39.02,39.916717799999994,-75.17441190000001
40.01,39.9238035,-75.16621020000001
41.02,39.9179425,-75.16006290000001
42.02,39.916857,-75.1516284
42.01,39.9219554,-75.151264
79.0,39.950463,-75.218257
80.0,39.95066129999999,-75.2268423
82.0,39.9491574,-75.24444940000001
176.01,39.993926,-75.1343448
83.01,39.957781,-75.24673840000001
84.0,39.957989899999994,-75.23546809999999
85.0,39.9568821,-75.22653890000001
90.0,39.959511600000006,-75.1906245
91.0,39.9594179,-75.19772449999999
92.0,39.9601608,-75.2074723
93.0,39.9622914,-75.2240225
67.0,39.9242475,-75.2242816
69.0,39.930620399999995,-75.2146526
70.0,39.935185,-75.22147700000001
72.0,39.944637,-75.2332168
73.0,39.9448185,-75.2232916
74.0,39.9408575,-75.21430670000001
77.0,39.9463523,-75.2082584
78.0,39.946458,-75.2162637
115.0,39.97736870000001,-75.2518303
117.0,39.991907,-75.2404371
118.0,39.98528889999999,-75.23573950000001
119.0,39.9861142,-75.2288429
120.0,39.9955323,-75.22974659999998
121.0,39.996499799999995,-75.2223795
125.0,39.9613701,-75.1720837
131.0,39.9651312,-75.1507381
132.0,39.9662042,-75.1571335
133.0,39.9666126,-75.16294549999999
135.0,39.9693564,-75.17003670000001
137.0,39.9772752,-75.18423229999999
170.0,40.0078614,-75.1834204
171.0,40.002744899999996,-75.1763248
173.0,39.9985707,-75.1609337
174.0,39.9962138,-75.15035859999999
175.0,39.997915,-75.1429842
178.0,39.9913734,-75.1173063
179.0,39.987053499999995,-75.113934
183.0,39.995603499999994,-75.0746225
184.0,39.9996644,-75.0637363
188.0,39.9973659,-75.10582959999999
217.0,40.0450277,-75.2239451
218.0,40.05747589999999,-75.2324353
219.0,40.050582899999995,-75.24700329999999
220.0,40.056217700000005,-75.2520092
9801.0,40.0509585,-75.214916
231.0,40.06666370000001,-75.2038514
235.0,40.0394435,-75.2007925
236.0,40.0427145,-75.194694
237.0,40.048739399999995,-75.1886069
238.0,40.038937,-75.1827038
239.0,40.0339713,-75.1875115
240.0,40.028080700000004,-75.1794623
257.0,40.072458600000004,-75.1962708
258.0,40.07398010000001,-75.1823113
259.0,40.0799255,-75.1759762
260.0,40.0761235,-75.16945600000001
261.0,40.0704645,-75.1755189
262.0,40.066494,-75.1692176
348.01,40.0545325,-75.01631040000001
263.02,40.0687425,-75.15719449999999
264.0,40.06254620000001,-75.1620066
265.0,40.0587255,-75.15469209999999
266.0,40.063482799999996,-75.1473266
267.0,40.054756899999994,-75.1479247
268.0,40.055527000000005,-75.1399312
299.0,40.013146500000005,-75.0747146
300.0,40.0186719,-75.078088
301.0,40.02049470000001,-75.0885046
302.0,40.02598629999999,-75.0823128
306.0,40.0504922,-75.09437870000001
307.0,40.0573133,-75.088539
308.0,40.0547831,-75.0819056
309.0,40.0437632,-75.08519140000001
310.0,40.0497292,-75.0744541
312.0,40.0354204,-75.077455
313.0,40.039319,-75.06981400000001
316.0,40.0326126,-75.0590717
317.0,40.030605,-75.0683989
363.03,40.1051833,-74.970225
347.01,40.0645576,-75.0329783
348.02,40.0687035,-75.00973
349.0,40.0453848,-75.00907679999999
351.0,40.048841100000004,-74.98597159999998
352.0,40.0559122,-74.9907443
353.01,40.065931299999995,-74.9934646
263.01,40.072814799999996,-75.1637161
8.04,39.9485646,-75.1677563
12.02,39.9459117,-75.16994749999999
12.01,39.9471666,-75.1798721
8.03,39.949374799999994,-75.17424890000001
9809.0,39.9051799,-75.2174145
27.02,39.9280114,-75.14956059999999
30.02,39.9327263,-75.1711915
30.01,39.929064000000004,-75.17199120000001
28.02,39.9288001,-75.1614073
9807.0,39.9104684,-75.14316559999999
27.01,39.9285526,-75.15370329999999
9806.0,39.9055378,-75.1707151
337.01,40.0672105,-75.0482983
337.02,40.0707532,-75.0578212
315.02,40.0392658,-75.0548693
314.01,40.0457134,-75.0665728
314.02,40.0432797,-75.060286
167.01,39.9911965,-75.1619017
167.02,39.9904175,-75.15781770000001
279.01,40.0458879,-75.1544482
279.02,40.0374381,-75.1543087
81.01,39.948364899999994,-75.2360506
71.02,39.940920399999996,-75.2282511
88.02,39.9529808,-75.20278929999999
87.02,39.9538114,-75.20704350000001
87.01,39.953565600000005,-75.2104988
81.02,39.9522216,-75.2345584
86.02,39.9569725,-75.21670300000001
375.0,39.984069899999994,-75.2551922
9808.0,39.9714517,-75.26217700000001
180.02,39.9836344,-75.10670959999999
88.01,39.95393189999999,-75.1984477
122.01,40.003464799999996,-75.2106388
98.01,39.9775172,-75.2665972
71.01,39.938158,-75.2249984
28.01,39.9289729,-75.1568319
9805.0,40.0177581,-75.144182
8.01,39.949737400000004,-75.1804054
11.01,39.9449918,-75.162524
274.02,40.039070200000005,-75.1251352
86.01,39.9537341,-75.216593
365.02,40.1235705,-74.9993521
367.0,39.960724799999994,-75.1439885
376.0,39.959900899999994,-75.15516509999999
386.0,40.0582762,-75.21109129999999
385.0,40.0757528,-75.21462340000001
387.0,40.0833122,-75.213077
388.0,40.0571595,-75.1982438
389.0,40.054343100000004,-75.16827640000001
9800.0,39.9880961,-75.1967773
269.0,40.05560070000001,-75.13240479999999
270.0,40.0493231,-75.1331512
271.0,40.0484793,-75.1263611
272.0,40.047233899999995,-75.1180889
273.0,40.0377547,-75.1189432
275.0,40.040049700000004,-75.1322707
276.0,40.0429404,-75.1392771
277.0,40.05054439999999,-75.1512267
278.0,40.0425278,-75.14716259999999
280.0,40.026119,-75.15464809999999
281.0,40.0304473,-75.1491299
282.0,40.034870399999996,-75.1403327
318.0,40.0311021,-75.0769892
319.0,40.02306,-75.0648988
320.0,40.0271751,-75.0548674
321.0,40.0170175,-75.05897519999999
323.0,40.0210898,-75.05152700000001
325.0,40.02639179999999,-75.0452561
326.0,40.0302773,-75.0396263
9891.0,40.037783000000005,-75.00340849999999
329.0,40.037901,-75.0249713
330.0,40.0335974,-75.0338492
332.0,40.043941100000005,-75.04482809999999
9803.0,40.0812065,-75.01069770000001
355.0,40.091128499999996,-75.02932440000001
358.0,40.1213169,-75.0257898
359.0,40.11034179999999,-75.0151645
360.0,40.104267,-75.0108187
361.0,40.0987766,-74.99074809999999
362.03,40.076092100000004,-74.97429670000001
353.02,40.073077399999995,-74.9968713
362.01,40.082029999999996,-74.9868079
363.02,40.0973153,-74.98051509999999
369.0,39.9494281,-75.19575479999999
373.0,39.9024981,-75.18793609999999
372.0,39.9129487,-75.1599379
383.0,40.010863,-75.1248984
390.0,40.03573,-75.093884
378.0,39.980580200000006,-75.09568449999999
377.0,39.982438099999996,-75.1506932
